Random value seed is 15647284
Random value is 0
Evil side is attacker!
The battle is beginig!
Attacker is Evil
Defender is Kind
Evil has 3324 units.
Kind has 3874 units.
##########################First round Attack!##########################
Orc attacked Wizard with 5 to 15hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 5 to 2hp
Human attacked Orc with 2 to 3hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 4 to 3hp
Human attacked Orc with 3 to 1hp
Orc attacked Human with 6 to 1hp
Human attacked Orc with 1 to 5hp
